NETWORK,FEATURE,N,NULL,MEAN,T,PVAL,H
lang,sent v code,25,0.666667,0.883889,22.583684,0.000000,1
lang,math v str,25,0.500000,0.609167,5.680461,0.000008,1
lang,seq v for,25,0.500000,0.543750,2.186433,0.038769,1
lang,seq v if,25,0.500000,0.646250,9.136165,0.000000,1
lang,for v if,25,0.500000,0.663750,7.214046,0.000000,1
MD,sent v code,25,0.666667,0.820556,16.341294,0.000000,1
MD,math v str,25,0.500000,0.633333,7.979250,0.000000,1
MD,seq v for,25,0.500000,0.588750,3.711229,0.001089,1
MD,seq v if,25,0.500000,0.638750,7.928571,0.000000,1
MD,for v if,25,0.500000,0.667500,9.847441,0.000000,1
aud,sent v code,25,0.666667,0.741667,4.149737,0.000361,1
aud,math v str,25,0.500000,0.540000,2.400499,0.024483,1
aud,seq v for,25,0.500000,0.482500,-0.783952,0.440737,0
aud,seq v if,25,0.500000,0.567500,3.804925,0.000861,1
aud,for v if,25,0.500000,0.586250,5.584406,0.000010,1
